bias,variance,mse
745.223441803977,18839981.874491613,19395339.85270578
-278.6038655835291,19625499.60183988,19703119.715757962
50.020845005405135,17634066.864775665,17636568.94971072
-323.05429551840825,18925693.948691588,19030058.02654449
434.1074438512678,18447648.4302,18636097.70300708
309.79095357450024,18769145.885811318,18865116.32072792
262.32737227216967,17392996.611677155,17461812.261920374
163.0154803852165,19740962.35945661,19767536.40630183
381.0910783373547,18575110.724169403,18720341.134157732
434.78196023972123,18130426.571445998,18319461.924395893
-170.35343297413965,18247028.904642064,18276049.19676814
-189.69779542857577,17497371.442474056,17533356.69606452
219.79388984242723,18655145.73041721,18703455.08442927
216.8572986032068,17583270.54692734,17630297.63488482
-394.52656407780887,16433967.076640775,16589618.286403814
-201.92997721376923,18138617.536496468,18179393.252194017
-100.85701498616254,18643887.708929643,18654059.84640156
-297.6144362981722,17341175.547120903,17429749.899813984
-175.30300911218364,17867084.255434956,17897815.40043874
-234.5599326796455,18877054.654603004,18932073.016621683
-175.5413947019515,17390013.70660385,17420828.48785776
62.8945918450172,17163394.938270684,17167350.667954035
308.9764008666134,17910570.955048084,18006037.371340565
-216.0290580103192,16983768.33585853,17030436.88976336
-114.56977268224364,19227580.69037072,19240706.92318318
-400.99319113714955,17166684.17088034,17327479.710218694
77.30252257687971,17448813.585178677,17454789.26517543
-217.592614308458,18258117.035748377,18305463.581549965
-254.09034036185403,17025649.92257781,17090211.823643014
13.070031426197602,18000447.21486922,18000618.0405907
155.81439505573871,19450430.397770442,19474708.523477025
-26.138846648984327,18208441.591772072,18209124.831076216
-60.56145853005728,18602816.347499825,18606484.037759114
25.988841574935577,17207455.802589122,17208131.222475525
-47.83489116231431,18451063.418410912,18453351.595223423
151.34316808851327,16963397.448363233,16986302.202890303
37.893616587238284,17260206.858708974,17261642.784887034
27.94105929429861,17337819.80649467,17338600.509289157
-251.6349734619307,17698070.975801107,17761391.135670293
35.90027797573384,16977197.396768548,16978486.226727284
-36.14043262172345,18484987.84119963,18486293.972069714
-89.36823951631413,16173528.3566524,16181515.038886646
-31.522928474845685,15368485.98588269,15369479.680902319
-513.4144739876319,16616440.721734934,16880035.14383493
284.3923230281125,18214163.971295696,18295042.964693025
-79.30251479055732,18340208.410982672,18346497.299834777
122.48468437713382,18088621.646827936,18103624.1447349
113.75771430893656,17882337.498623583,17895278.31618838
-332.06471855974996,17971152.476563018,18081419.453875188
476.02546994669683,18507240.69917099,18733840.947208963
218.16613687120662,18497528.610254128,18545125.073531434
-72.58346819766484,17959724.673200373,17964993.033055972
-493.6580230536365,17345986.633578453,17589684.877303682
-441.0407852079534,17490072.49429585,17684589.4685127
-152.02197105623418,17746944.235141035,17770054.91482486
271.33591461491596,18568258.218510017,18641881.39706993
-85.89644421253433,17683092.38198082,17690470.58110918
104.2746879400438,17637007.980570514,17647881.191115506
-132.91945699138523,17572409.296576995,17590076.878623884
-420.10995878668473,17803911.8104901,17980404.18796185
-41.84627371367242,17350399.274040423,17352150.38466414
202.1109630586452,18964861.516106397,19005710.357494887
