bias,variance,mse
-0.00012613944351265102,1.7971624384885e-05,1.798753554409468e-05
-7.119005478516821e-06,1.887638498469765e-05,1.8876435664936652e-05
-0.00010805391438295335,1.6996727441305924e-05,1.70084030897194e-05
-0.0002003812030043333,1.7324147212024182e-05,1.736429983854165e-05
0.00036664172801370576,1.9193816086613875e-05,1.9328242243334755e-05
-0.0002764801241311385,1.78136629353244e-05,1.789010419436397e-05
-0.0004174659168068185,1.628556758745476e-05,1.645984537915012e-05
-0.0003388478391960423,1.7752667855676522e-05,1.7867485713804345e-05
-1.90393654307848e-06,1.7238698972037347e-05,1.723870259701171e-05
3.955379817159599e-05,1.891177966119432e-05,1.891334416414412e-05
0.00016183694943396922,1.660292119325707e-05,1.6629112391459162e-05
-1.0508309922826337e-05,1.720529074616339e-05,1.7205401170740825e-05
-0.00044429745694824115,1.728106474464876e-05,1.7478464974899435e-05
-0.00023587156601796028,1.8214644806820672e-05,1.8270280202476442e-05
2.706261081608652e-05,1.7573423796415634e-05,1.7574156181319815e-05
-0.0003889342532884324,1.7091931298993177e-05,1.7243201152374204e-05
-0.00024719406508494357,1.8338831704464244e-05,1.8399936610277462e-05
-0.00010597164727776248,1.789171496730073e-05,1.7902944957327494e-05
-0.000293364184448636,1.6324582530193192e-05,1.6410645074910406e-05
-0.00012829406974684994,1.7573299529370836e-05,1.758975889770305e-05
-0.00024354951482582522,1.734983864283201e-05,1.7409155009003906e-05
1.202666080642005e-05,1.7729728979015162e-05,1.7729873619585316e-05
-0.00024522472765660906,1.775855325718374e-05,1.7818688424238e-05
4.238369018460912e-05,1.886059068220149e-05,1.886238705939515e-05
0.00010585719075411823,1.6848150725230035e-05,1.685935647006439e-05
0.000521120257719802,1.83346704214288e-05,1.8606236744434757e-05
-0.00030239309677563067,1.652792811004759e-05,1.6619369695025147e-05
-0.0001486422595172454,1.6370862402472823e-05,1.6392956923787214e-05
0.0002868315670391565,1.730853449813843e-05,1.739080684598857e-05
0.0001635868490480804,1.9476977142662456e-05,1.9503737799843938e-05
0.0004172501381373237,1.829104917085966e-05,1.846514684863528e-05
0.00025253038761175427,1.846830947827973e-05,1.853208107494707e-05
0.00036544926401218397,1.696725455858539e-05,1.710080772315244e-05
0.00016560482596937078,1.747491983049737e-05,1.7502344788881713e-05
0.00025887174669187926,1.9366523725716184e-05,1.9433538306951493e-05
4.107808358044633e-05,1.776691105197869e-05,1.776859846092933e-05
8.995591581087772e-05,1.8403866471670946e-05,1.8411958538460323e-05
0.00022093771047296262,1.8605488452586662e-05,1.8654301924495697e-05
0.00017268442524664453,1.9235346176108813e-05,1.9265166086831577e-05
-0.00022937904605285948,1.7536358702765827e-05,1.7588973449533944e-05
-0.00035941181638511274,1.772207213326646e-05,1.7851248987023706e-05
0.0003254097782915046,1.6970849195592292e-05,1.707674071940002e-05
0.0004849308720656798,1.725489057415614e-05,1.749004852483852e-05
-4.9004218745703904e-05,1.8388343573058998e-05,1.8390744986513873e-05
-0.0001006804153087116,1.746553433389979e-05,1.747567087992652e-05
-7.882476356420483e-05,1.8554867392766e-05,1.8561080736116954e-05
-0.00022843923304445395,1.7608010876464143e-05,1.766019535965808e-05
-0.00031196944184559185,1.6189866910153445e-05,1.6287191842798895e-05
0.0002271393294216214,1.9512251450216682e-05,1.9563843725186785e-05
-0.00021020637629812385,1.8224928232004644e-05,1.826911495264103e-05
-0.00010383169259806438,1.8031220567889227e-05,1.804200158827701e-05
0.0004517083906024396,1.782175933554255e-05,1.80257998056832e-05
0.000449310895414997,1.808452069953125e-05,1.828640098026988e-05
5.432051070311528e-05,1.7693267935960827e-05,1.7696218653843876e-05
4.800066610890531e-05,1.6379087774911976e-05,1.6381391838858873e-05
-0.0007603622607710667,1.6864772986981474e-05,1.7442923754586364e-05
0.0002103374725359805,1.8907835352699076e-05,1.8952077205051902e-05
0.00024408713809630223,1.7721041843773633e-05,1.7780620374757678e-05
-0.00014979129704071996,1.906457158351542e-05,1.908700901618456e-05
-6.183826829410204e-05,1.703951352322272e-05,1.704333749464834e-05
8.606718947933717e-07,1.813618792593913e-05,1.813618866669524e-05
-0.0001897073264751671,1.90091652822085e-05,1.9045154151926854e-05
0.000326160777719825,1.9221903574315048e-05,1.932828442723785e-05
0.0001741265593081763,1.7811661374662745e-05,1.7841981433319248e-05
-4.072250448411592e-05,1.7237402256872944e-05,1.7239060579244402e-05
-0.0002665245544069498,1.8710765274753e-05,1.878180061285482e-05
-0.00031281088584705213,1.749239552558681e-05,1.7590246175891222e-05
-0.00047328376415581297,1.7627367776028767e-05,1.7851365297442264e-05
0.0003687593454261267,1.794549629613692e-05,1.8081479750976025e-05
-0.000276171595308081,1.919007917830621e-05,1.9266349928361222e-05
-0.00011801272673689009,1.8596050040556273e-05,1.8609977044228147e-05
-0.0001505189621507641,1.80934316701051e-05,1.8116087628072042e-05
-0.0001534421089680986,1.9798609640604393e-05,1.982215412140897e-05
-0.00012766044917229824,1.8395823651719202e-05,1.841212084200207e-05
-6.399824060493269e-05,1.808357699987482e-05,1.8087672774675344e-05
3.178070541059487e-05,1.7180315088547604e-05,1.7181325101783998e-05
-0.00015303250908254955,1.617724271735731e-05,1.620066166619341e-05
0.00033321857808392245,1.7232378413306387e-05,1.7343413034086662e-05
-0.00031806851812037247,1.8245852653935286e-05,1.834702023615457e-05
-0.00011216781795039647,1.83654943356689e-05,1.8378075955052655e-05
-0.00023975690272804231,1.6297776914634487e-05,1.6355260287040234e-05
9.510541862077677e-05,1.7612180544436992e-05,1.7621225585088024e-05
-0.00014566793059711362,1.6797696936398233e-05,1.681891608240268e-05
-0.00022489283671723627,1.8176135743907122e-05,1.8226712531913847e-05
0.0003175785870816773,1.7993028573710955e-05,1.8093884732683753e-05
-5.042794725985261e-05,1.9499376559897048e-05,1.9501919537761885e-05
-0.00028497094215474555,1.7457474637561454e-05,1.753868307543402e-05
0.0005564793159129246,1.849487889083345e-05,1.8804548119872368e-05
3.729556191951061e-05,1.8479870816243273e-05,1.8481261775182163e-05
-0.0006102809195924486,1.77685942289346e-05,1.81410370297532e-05
9.124805929859592e-05,1.8643113040415035e-05,1.86514392487408e-05
-0.00020350118956312044,1.864813871435566e-05,1.8689551448509266e-05
-0.00037050602960838654,1.7667329873222242e-05,1.7804604591198416e-05
0.0005820540752808079,1.837805239066489e-05,1.8716839337215885e-05
-0.0003612935500842806,1.865781172322647e-05,1.8788344752558976e-05
-0.0002111685088072076,1.919543160504346e-05,1.9240023744155322e-05
-0.00021914541499399968,1.7027221912304065e-05,1.7075246625216958e-05
-0.0001515676855146572,1.648515282412176e-05,1.6508125587414032e-05
3.510567554792718e-05,1.8633223713976766e-05,1.863445612243244e-05
-0.00047752984710240816,1.7951424700781946e-05,1.8179459455655596e-05
-9.186015016894762e-05,1.8889114963889304e-05,1.889755325107836e-05
3.850158215202258e-05,1.8109670347727237e-05,1.8111152719555447e-05
-0.0002750543077309816,1.718840818127742e-05,1.726406305347879e-05
0.0004130492905151488,1.81928134096459e-05,1.8363423126040973e-05
0.00026739410052186753,1.838345825657613e-05,1.8454957861570026e-05
-0.00024175313846737552,1.9291212895539226e-05,1.934965747549805e-05
0.0003646308205139757,1.8627493839485225e-05,1.8760449474753918e-05
0.0005837545296185926,1.8482841011704194e-05,1.8823610362554416e-05
-0.00015174591503085144,1.8599371745190674e-05,1.8622398567919224e-05
-0.00010990374364288139,1.6183632941857747e-05,1.619571177472447e-05
6.616564768577131e-05,2.0258230321975334e-05,2.0262608214909013e-05
9.668408867949743e-05,1.973983693944984e-05,1.974918475245362e-05
0.00023966558203314392,1.7800491857443228e-05,1.7857931448654516e-05
0.0005410292316984228,1.786180793135639e-05,1.8154520560908577e-05
0.00033894071910687586,1.875838035040597e-05,1.8873261161474652e-05
0.00046657310575160676,1.7545388482586793e-05,1.776307894559749e-05
9.877534039239716e-05,1.790706475595946e-05,1.7916821323829097e-05
-0.00012252852583871654,1.923748404910826e-05,1.9252497288752472e-05
0.00025776561054119754,1.718795246259909e-05,1.7254395572576768e-05
-0.000352920343676736,1.7489322910933224e-05,1.7613875679914132e-05
-0.00013761703422422722,1.7178647718539445e-05,1.7197586166648116e-05
6.996175632426223e-05,1.7815142723937992e-05,1.782003737128597e-05
0.00020191363008657814,1.7414966936437314e-05,1.7455736050452052e-05
1.32048440901842e-05,1.911665623709463e-05,1.9116830605002077e-05
-0.00015458003944283233,1.7109363152450736e-05,1.7133258141044883e-05
-0.0003817541288062779,1.7186737760812583e-05,1.733247397567322e-05
