bias,variance,mse_mcse
221.23791386947596,18798305.38972563,
-167.28634608361062,18803531.336589318,
-190.32114567289318,18400120.033993993,
-95.98855942219416,16757085.15092572,
258.1022405310432,18539368.971066628,
-288.30425711934186,17726058.692570094,
-93.60526983176351,18436525.389003206,
-301.00563054800296,16816323.7233361,
-463.1221900860037,15918681.420836193,
148.41003458717387,17518787.925689764,
-401.30465541214835,17782622.99217851,
-145.96281564987657,17926936.14232729,
-173.7946569936248,17762137.47399817,
-469.66135733368355,16087418.54138923,
151.5458294041764,17804678.162105877,
-56.76742565519453,18270533.955253445,
-167.2292280104666,17376740.61654096,
223.25553365086307,17927637.772733826,
62.90884098614333,16809480.986818716,
167.9500294819336,18342004.583851203,
-35.844738047378996,17948793.07805161,
-280.64721726028256,18374768.200525478,
-414.1752947948007,16472895.259242127,
-137.0184623675068,19053826.06046843,
242.44627162544566,17495009.285966486,
-380.3828316570689,18797869.71217655,
145.84324243003357,18699866.332626928,
379.8519022714463,17680347.373661615,
53.05447305534835,18377746.84540253,
282.49482201976207,17617581.524138298,
-39.819003769027404,17684237.715428174,
-22.113082247778948,17589506.29092976,
33.51615513804063,17350803.74451898,
109.80440308196194,17720171.258786585,
-199.76515846624352,17385654.632322654,
-379.4102900182279,17120364.62004891,
10.627654976440681,17086127.623213775,
-81.7534388076383,18447348.478551794,
368.92722631173456,18048975.094076898,
-11.729662558167547,18665521.702662725,
-348.81690858613183,17273913.92506598,
35.05163749802523,18832017.81383542,
189.01109968947276,17795880.929205794,
384.4277356259827,17864303.043066137,
-15.365986827182496,17724732.304932967,
104.84075699153982,18293775.617883187,
48.24953185265622,19365753.336023737,
-497.0289169610187,17184496.742632873,
391.19408523894526,17896855.286310855,
-100.03920282394938,16861694.31113839,
127.50218443321864,17405337.136782747,
500.3083862815329,19656756.29001668,
-219.01489118261634,16775274.390539642,
264.1870181623108,17429708.584091928,
-53.1423018229998,17708522.458971605,
-647.9067999678718,19699679.858900454,
-388.1292990843449,15952230.869366515,
-90.59835821916386,17534910.418511663,
610.397115444106,18686979.375646114,
272.88684500959425,17752269.642912053,
165.2654923270802,17567568.586563263,
-7.908592007252082,18282238.013361365,
103.98783613224441,17838919.176309224,
186.0196863142828,16512792.085160818,
297.00183276699136,18289937.86235577,
-344.1503840600817,16498615.163211549,
-583.4129212724947,18312190.694228675,
-482.1078146843138,17121957.081208788,
-70.63075215664139,18506222.480950557,
-374.6582509771597,17262435.716364037,
-310.78388680621356,16367203.734830884,
-312.64515399947777,17370249.482831288,
